run,task,subset,score
Q4B-LORA-InfoNCE-s42,BrightRetrieval,biology,47.53
Q4B-LORA-InfoNCE-s42,BrightRetrieval,earth_science,46.92
Q4B-LORA-InfoNCE-s42,BrightRetrieval,economics,32.58
Q4B-LORA-InfoNCE-s42,BrightRetrieval,psychology,43.11
Q4B-LORA-InfoNCE-s42,BrightRetrieval,robotics,27.11
Q4B-LORA-InfoNCE-s42,BrightRetrieval,stackoverflow,35.57
Q4B-LORA-InfoNCE-s42,BrightRetrieval,sustainable_living,35.54
Q4B-LORA-InfoNCE-s42,BrightRetrieval,pony,6.97
Q4B-LORA-InfoNCE-s42,BrightRetrieval,leetcode,15.31
Q4B-LORA-InfoNCE-s42,BrightRetrieval,aops,3.97
Q4B-LORA-InfoNCE-s42,BrightRetrieval,theoremqa_theorems,44.11
Q4B-LORA-InfoNCE-s42,BrightRetrieval,theoremqa_questions,23.35
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,biology,49.54
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,earth_science,46.63
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,economics,32.43
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,psychology,41.07
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,robotics,27.31
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,stackoverflow,34.39
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,sustainable_living,36.91
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,pony,7.3
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,leetcode,14.98
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,aops,3.39
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,theoremqa_theorems,44.61
Q4B-LORA-InfoNCE-Seed3407-s3407,BrightRetrieval,theoremqa_questions,23.46
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,biology,48.35
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,earth_science,47.45
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,economics,31.13
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,psychology,42.76
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,robotics,25.61
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,stackoverflow,34.21
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,sustainable_living,35.14
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,pony,5.4
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,leetcode,15.33
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,aops,4.14
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,theoremqa_theorems,45.45
Q4B-LORA-InfoNCE-Seed2026-s2026,BrightRetrieval,theoremqa_questions,23.69
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,biology,43.81
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,earth_science,46.67
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,economics,32.0
Q4B-LORA-RELER-Seed3407-s3407,BrightRetrieval,psychology,42.75
